canonical_item_id,source,object_type,object_subtype,type_name,market_hash_name,item_name,weapon_type,weapon_family,weapon_name,skin_name,wear,rarity,collection,is_stattrak,is_souvenir,listing_id,asset_id,sample_price,sample_currency,raw_type
charm__charm_diner_dog,csgo_api_reference,charm,charm,charm,Charm | Diner Dog,Charm | Diner Dog,,,,,,Exotic,Missing Link Charm Collection,False,False,keychain-13,13,,,
charm__charm_disco_mac,csgo_api_reference,charm,charm,charm,Charm | Disco MAC,Charm | Disco MAC,,,,,,Remarkable,Small Arms Charm Collection,False,False,keychain-25,25,,,
charm__charm_dr_brian,csgo_api_reference,charm,charm,charm,Charm | Dr. Brian,Charm | Dr. Brian,,,,,,Remarkable,Dr Boom Charm Collection,False,False,keychain-82,82,,,
charm__charm_eye_of_ball,csgo_api_reference,charm,charm,charm,Charm | Eye of Ball,Charm | Eye of Ball,,,,,,Exotic,Dr Boom Charm Collection,False,False,keychain-76,76,,,
charm__charm_flash_bomb,csgo_api_reference,charm,charm,charm,Charm | Flash Bomb,Charm | Flash Bomb,,,,,,Exotic,Dr Boom Charm Collection,False,False,keychain-79,79,,,
charm__charm_fluffy,csgo_api_reference,charm,charm,charm,Charm | Fluffy,Charm | Fluffy,,,,,,High Grade,Dr Boom Charm Collection,False,False,keychain-65,65,,,
charm__charm_glamour_shot,csgo_api_reference,charm,charm,charm,Charm | Glamour Shot,Charm | Glamour Shot,,,,,,Remarkable,Small Arms Charm Collection,False,False,keychain-31,31,,,
charm__charm_glitter_bomb,csgo_api_reference,charm,charm,charm,Charm | Glitter Bomb,Charm | Glitter Bomb,,,,,,Extraordinary,Dr Boom Charm Collection,False,False,keychain-73,73,,,
charm__charm_gritty,csgo_api_reference,charm,charm,charm,Charm | Gritty,Charm | Gritty,,,,,,High Grade,Dr Boom Charm Collection,False,False,keychain-64,64,,,
charm__charm_hang_loose,csgo_api_reference,charm,charm,charm,Charm | Hang Loose,Charm | Hang Loose,,,,,,Remarkable,Missing Link Community Charm Collection,False,False,keychain-56,56,,,
charm__charm_hot_hands,csgo_api_reference,charm,charm,charm,Charm | Hot Hands,Charm | Hot Hands,,,,,,Remarkable,Small Arms Charm Collection,False,False,keychain-28,28,,,
charm__charm_hot_howl,csgo_api_reference,charm,charm,charm,Charm | Hot Howl,Charm | Hot Howl,,,,,,Extraordinary,Missing Link Charm Collection,False,False,keychain-7,7,,,
charm__charm_hot_sauce,csgo_api_reference,charm,charm,charm,Charm | Hot Sauce,Charm | Hot Sauce,,,,,,High Grade,Missing Link Charm Collection,False,False,keychain-10,10,,,
charm__charm_hot_wurst,csgo_api_reference,charm,charm,charm,Charm | Hot Wurst,Charm | Hot Wurst,,,,,,Extraordinary,Missing Link Charm Collection,False,False,keychain-16,16,,,
charm__charm_hungry_eyes,csgo_api_reference,charm,charm,charm,Charm | Hungry Eyes,Charm | Hungry Eyes,,,,,,Exotic,Dr Boom Charm Collection,False,False,keychain-75,75,,,
charm__charm_lil_ava,csgo_api_reference,charm,charm,charm,Charm | Lil' Ava,Charm | Lil' Ava,,,,,,High Grade,Missing Link Charm Collection,False,False,keychain-1,1,,,
charm__charm_lil_baller,csgo_api_reference,charm,charm,charm,Charm | Lil' Baller,Charm | Lil' Baller,,,,,,High Grade,Missing Link Community Charm Collection,False,False,keychain-40,40,,,
charm__charm_lil_bloody,csgo_api_reference,charm,charm,charm,Charm | Lil' Bloody,Charm | Lil' Bloody,,,,,,Remarkable,Dr Boom Charm Collection,False,False,keychain-70,70,,,
charm__charm_lil_boo,csgo_api_reference,charm,charm,charm,Charm | Lil' Boo,Charm | Lil' Boo,,,,,,Extraordinary,Missing Link Community Charm Collection,False,False,keychain-59,59,,,
charm__charm_lil_buns,csgo_api_reference,charm,charm,charm,Charm | Lil' Buns,Charm | Lil' Buns,,,,,,Remarkable,Missing Link Community Charm Collection,False,False,keychain-43,43,,,
charm__charm_lil_cackle,csgo_api_reference,charm,charm,charm,Charm | Lil' Cackle,Charm | Lil' Cackle,,,,,,High Grade,Missing Link Community Charm Collection,False,False,keychain-48,48,,,
charm__charm_lil_cap_gun,csgo_api_reference,charm,charm,charm,Charm | Lil' Cap Gun,Charm | Lil' Cap Gun,,,,,,High Grade,Small Arms Charm Collection,False,False,keychain-27,27,,,
charm__charm_lil_chirp,csgo_api_reference,charm,charm,charm,Charm | Lil' Chirp,Charm | Lil' Chirp,,,,,,Exotic,Missing Link Community Charm Collection,False,False,keychain-60,60,,,
charm__charm_lil_chomper,csgo_api_reference,charm,charm,charm,Charm | Lil' Chomper,Charm | Lil' Chomper,,,,,,Remarkable,Dr Boom Charm Collection,False,False,keychain-69,69,,,
charm__charm_lil_crass,csgo_api_reference,charm,charm,charm,Charm | Lil' Crass,Charm | Lil' Crass,,,,,,High Grade,Missing Link Charm Collection,False,False,keychain-6,6,,,
charm__charm_lil_curse,csgo_api_reference,charm,charm,charm,Charm | Lil' Curse,Charm | Lil' Curse,,,,,,High Grade,Missing Link Community Charm Collection,False,False,keychain-38,38,,,
charm__charm_lil_dumplin,csgo_api_reference,charm,charm,charm,Charm | Lil' Dumplin',Charm | Lil' Dumplin',,,,,,Remarkable,Dr Boom Charm Collection,False,False,keychain-71,71,,,
charm__charm_lil_eco,csgo_api_reference,charm,charm,charm,Charm | Lil' Eco,Charm | Lil' Eco,,,,,,Exotic,Dr Boom Charm Collection,False,False,keychain-74,74,,,
charm__charm_lil_eldritch,csgo_api_reference,charm,charm,charm,Charm | Lil' Eldritch,Charm | Lil' Eldritch,,,,,,Extraordinary,Missing Link Community Charm Collection,False,False,keychain-45,45,,,
charm__charm_lil_facelift,csgo_api_reference,charm,charm,charm,Charm | Lil' Facelift,Charm | Lil' Facelift,,,,,,Remarkable,Dr Boom Charm Collection,False,False,keychain-68,68,,,
charm__charm_lil_ferno,csgo_api_reference,charm,charm,charm,Charm | Lil' Ferno,Charm | Lil' Ferno,,,,,,Extraordinary,Dr Boom Charm Collection,False,False,keychain-80,80,,,
charm__charm_lil_goop,csgo_api_reference,charm,charm,charm,Charm | Lil' Goop,Charm | Lil' Goop,,,,,,Remarkable,Missing Link Community Charm Collection,False,False,keychain-55,55,,,
charm__charm_lil_happy,csgo_api_reference,charm,charm,charm,Charm | Lil' Happy,Charm | Lil' Happy,,,,,,Exotic,Missing Link Community Charm Collection,False,False,keychain-46,46,,,
charm__charm_lil_hero,csgo_api_reference,charm,charm,charm,Charm | Lil' Hero,Charm | Lil' Hero,,,,,,Exotic,Missing Link Community Charm Collection,False,False,keychain-53,53,,,
charm__charm_lil_moments,csgo_api_reference,charm,charm,charm,Charm | Lil' Moments,Charm | Lil' Moments,,,,,,Remarkable,Missing Link Community Charm Collection,False,False,keychain-58,58,,,
charm__charm_lil_monster,csgo_api_reference,charm,charm,charm,Charm | Lil' Monster,Charm | Lil' Monster,,,,,,Exotic,Missing Link Charm Collection,False,False,keychain-9,9,,,
charm__charm_lil_no_2,csgo_api_reference,charm,charm,charm,Charm | Lil' No. 2,Charm | Lil' No. 2,,,,,,High Grade,Missing Link Community Charm Collection,False,False,keychain-50,50,,,
charm__charm_lil_prick,csgo_api_reference,charm,charm,charm,Charm | Lil' Prick,Charm | Lil' Prick,,,,,,Exotic,Missing Link Community Charm Collection,False,False,keychain-42,42,,,
charm__charm_lil_sandy,csgo_api_reference,charm,charm,charm,Charm | Lil' Sandy,Charm | Lil' Sandy,,,,,,Remarkable,Missing Link Charm Collection,False,False,keychain-4,4,,,
charm__charm_lil_sas,csgo_api_reference,charm,charm,charm,Charm | Lil' SAS,Charm | Lil' SAS,,,,,,High Grade,Missing Link Charm Collection,False,False,keychain-15,15,,,
charm__charm_lil_serpent,csgo_api_reference,charm,charm,charm,Charm | Lil' Serpent,Charm | Lil' Serpent,,,,,,Extraordinary,Missing Link Community Charm Collection,False,False,keychain-39,39,,,
charm__charm_lil_smokey,csgo_api_reference,charm,charm,charm,Charm | Lil' Smokey,Charm | Lil' Smokey,,,,,,High Grade,Missing Link Community Charm Collection,False,False,keychain-44,44,,,
charm__charm_lil_squatch,csgo_api_reference,charm,charm,charm,Charm | Lil' Squatch,Charm | Lil' Squatch,,,,,,Remarkable,Missing Link Charm Collection,False,False,keychain-33,33,,,
charm__charm_lil_squirt,csgo_api_reference,charm,charm,charm,Charm | Lil' Squirt,Charm | Lil' Squirt,,,,,,Exotic,Small Arms Charm Collection,False,False,keychain-24,24,,,
charm__charm_lil_teacup,csgo_api_reference,charm,charm,charm,Charm | Lil' Teacup,Charm | Lil' Teacup,,,,,,Remarkable,Missing Link Charm Collection,False,False,keychain-14,14,,,
charm__charm_lil_tusk,csgo_api_reference,charm,charm,charm,Charm | Lil' Tusk,Charm | Lil' Tusk,,,,,,High Grade,Missing Link Community Charm Collection,False,False,keychain-54,54,,,
charm__charm_lil_vino,csgo_api_reference,charm,charm,charm,Charm | Lil' Vino,Charm | Lil' Vino,,,,,,High Grade,Missing Link Community Charm Collection,False,False,keychain-57,57,,,
charm__charm_lil_whiskers,csgo_api_reference,charm,charm,charm,Charm | Lil' Whiskers,Charm | Lil' Whiskers,,,,,,Remarkable,Missing Link Charm Collection,False,False,keychain-3,3,,,
charm__charm_lil_yeti,csgo_api_reference,charm,charm,charm,Charm | Lil' Yeti,Charm | Lil' Yeti,,,,,,Exotic,Dr Boom Charm Collection,False,False,keychain-77,77,,,
charm__charm_lil_zen,csgo_api_reference,charm,charm,charm,Charm | Lil' Zen,Charm | Lil' Zen,,,,,,High Grade,Dr Boom Charm Collection,False,False,keychain-67,67,,,
charm__charm_magmatude,csgo_api_reference,charm,charm,charm,Charm | Magmatude,Charm | Magmatude,,,,,,Remarkable,Missing Link Community Charm Collection,False,False,keychain-47,47,,,
charm__charm_pinch_o_salt,csgo_api_reference,charm,charm,charm,Charm | Pinch O' Salt,Charm | Pinch O' Salt,,,,,,High Grade,Missing Link Charm Collection,False,False,keychain-12,12,,,
charm__charm_piñatita,csgo_api_reference,charm,charm,charm,Charm | Piñatita,Charm | Piñatita,,,,,,Exotic,Missing Link Community Charm Collection,False,False,keychain-51,51,,,
charm__charm_pocket_awp,csgo_api_reference,charm,charm,charm,Charm | Pocket AWP,Charm | Pocket AWP,,,,,,High Grade,Small Arms Charm Collection,False,False,keychain-19,19,,,
charm__charm_pocket_pop,csgo_api_reference,charm,charm,charm,Charm | Pocket Pop,Charm | Pocket Pop,,,,,,Remarkable,Missing Link Community Charm Collection,False,False,keychain-52,52,,,
charm__charm_pop_art,csgo_api_reference,charm,charm,charm,Charm | POP Art,Charm | POP Art,,,,,,Remarkable,Small Arms Charm Collection,False,False,keychain-23,23,,,
charm__charm_quick_silver,csgo_api_reference,charm,charm,charm,Charm | Quick Silver,Charm | Quick Silver,,,,,,Extraordinary,Missing Link Community Charm Collection,False,False,keychain-49,49,,,
charm__charm_semi_precious,csgo_api_reference,charm,charm,charm,Charm | Semi-Precious,Charm | Semi-Precious,,,,,,Exotic,Small Arms Charm Collection,False,False,keychain-29,29,,,
charm__charm_splatter_cat,csgo_api_reference,charm,charm,charm,Charm | Splatter Cat,Charm | Splatter Cat,,,,,,High Grade,Dr Boom Charm Collection,False,False,keychain-63,63,,,
charm__charm_stitch_loaded,csgo_api_reference,charm,charm,charm,Charm | Stitch-Loaded,Charm | Stitch-Loaded,,,,,,High Grade,Small Arms Charm Collection,False,False,keychain-32,32,,,
charm__charm_thats_bananas,csgo_api_reference,charm,charm,charm,Charm | That's Bananas,Charm | That's Bananas,,,,,,Remarkable,Missing Link Charm Collection,False,False,keychain-2,2,,,
charm__charm_titeenium_awp,csgo_api_reference,charm,charm,charm,Charm | Titeenium AWP,Charm | Titeenium AWP,,,,,,Exotic,Small Arms Charm Collection,False,False,keychain-20,20,,,
charm__charm_whittle_guy,csgo_api_reference,charm,charm,charm,Charm | Whittle Guy,Charm | Whittle Guy,,,,,,High Grade,Dr Boom Charm Collection,False,False,keychain-66,66,,,
charm__charm_whittle_knife,csgo_api_reference,charm,charm,charm,Charm | Whittle Knife,Charm | Whittle Knife,,,,,,High Grade,Small Arms Charm Collection,False,False,keychain-22,22,,,
charm__hot_howl,csfloat,charm,Charm,Charm,Charm | Hot Howl,Hot Howl,,,,,,Extraordinary,,False,False,956974366669802374,49342320981,4227.0,USD,charm
charm__lil_eldritch,csfloat,charm,Charm,Charm,Charm | Lil' Eldritch,Lil' Eldritch,,,,,,Extraordinary,,False,False,955364571093272574,50508736419,2900.0,USD,charm
charm__semi_precious,csfloat,charm,Charm,Charm,Charm | Semi-Precious,Semi-Precious,,,,,,Exotic,,False,False,956960066404222377,40075749541,572.0,USD,charm
