canonical_item_id,source,object_type,object_subtype,type_name,market_hash_name,item_name,weapon_type,weapon_family,weapon_name,skin_name,wear,rarity,collection,is_stattrak,is_souvenir,listing_id,asset_id,sample_price,sample_currency,raw_type
ak_47__aquamarine_revenge__well_worn,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Aquamarine Revenge (Well-Worn),AK-47 | Aquamarine Revenge (Well-Worn),Rifles,rifle,AK-47,Aquamarine Revenge,Well-Worn,Covert,,False,False,skin-0ffd6029f447_3,474,,,
ak_47__aquamarine_revenge__well_worn__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Aquamarine Revenge (Well-Worn),StatTrak™ AK-47 | Aquamarine Revenge (Well-Worn),Rifles,rifle,AK-47,Aquamarine Revenge,Well-Worn,Covert,,True,False,skin-0ffd6029f447_3_st,474,,,
ak_47__asiimov__battle_scarred,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Asiimov (Battle-Scarred),AK-47 | Asiimov (Battle-Scarred),Rifles,rifle,AK-47,Asiimov,Battle-Scarred,Covert,,False,False,skin-09205674e246_4,801,,,
ak_47__asiimov__battle_scarred__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Asiimov (Battle-Scarred),StatTrak™ AK-47 | Asiimov (Battle-Scarred),Rifles,rifle,AK-47,Asiimov,Battle-Scarred,Covert,,True,False,skin-09205674e246_4_st,801,,,
ak_47__asiimov__factory_new,csfloat,weapon,Skin,Skin,AK-47 | Asiimov (Factory New),AK-47 | Asiimov,Skin,rifle,AK-47,Asiimov,Factory New,Covert,The Danger Zone Collection,False,False,954720883161825567,37681092197,67282.0,USD,skin
ak_47__asiimov__factory_new__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Asiimov (Factory New),StatTrak™ AK-47 | Asiimov (Factory New),Rifles,rifle,AK-47,Asiimov,Factory New,Covert,,True,False,skin-09205674e246_0_st,801,,,
ak_47__asiimov__field_tested,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Asiimov (Field-Tested),AK-47 | Asiimov (Field-Tested),Rifles,rifle,AK-47,Asiimov,Field-Tested,Covert,,False,False,skin-09205674e246_2,801,,,
ak_47__asiimov__field_tested__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Asiimov (Field-Tested),StatTrak™ AK-47 | Asiimov (Field-Tested),Rifles,rifle,AK-47,Asiimov,Field-Tested,Covert,,True,False,skin-09205674e246_2_st,801,,,
ak_47__asiimov__minimal_wear,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Asiimov (Minimal Wear),AK-47 | Asiimov (Minimal Wear),Rifles,rifle,AK-47,Asiimov,Minimal Wear,Covert,,False,False,skin-09205674e246_1,801,,,
ak_47__asiimov__minimal_wear__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Asiimov (Minimal Wear),StatTrak™ AK-47 | Asiimov (Minimal Wear),Rifles,rifle,AK-47,Asiimov,Minimal Wear,Covert,,True,False,skin-09205674e246_1_st,801,,,
ak_47__asiimov__well_worn,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Asiimov (Well-Worn),AK-47 | Asiimov (Well-Worn),Rifles,rifle,AK-47,Asiimov,Well-Worn,Covert,,False,False,skin-09205674e246_3,801,,,
ak_47__asiimov__well_worn__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Asiimov (Well-Worn),StatTrak™ AK-47 | Asiimov (Well-Worn),Rifles,rifle,AK-47,Asiimov,Well-Worn,Covert,,True,False,skin-09205674e246_3_st,801,,,
ak_47__b_the_monster__battle_scarred,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | B the Monster (Battle-Scarred),AK-47 | B the Monster (Battle-Scarred),Rifles,rifle,AK-47,B the Monster,Battle-Scarred,Covert,,False,False,skin-16430ed7568b_4,142,,,
ak_47__b_the_monster__battle_scarred__souvenir,csgo_api_reference,weapon,Rifles,Rifles,Souvenir AK-47 | B the Monster (Battle-Scarred),Souvenir AK-47 | B the Monster (Battle-Scarred),Rifles,rifle,AK-47,B the Monster,Battle-Scarred,Covert,,False,True,skin-16430ed7568b_4_so,142,,,
ak_47__b_the_monster__factory_new,csfloat,weapon,Skin,Skin,AK-47 | B the Monster (Factory New),AK-47 | B the Monster,Skin,rifle,AK-47,B the Monster,Factory New,Covert,The Overpass 2024 Collection,False,False,956811555058614848,50406135876,156467.0,USD,skin
ak_47__b_the_monster__factory_new__souvenir,csfloat,weapon,Skin,Skin,Souvenir AK-47 | B the Monster (Factory New),AK-47 | B the Monster,Skin,rifle,AK-47,B the Monster,Factory New,Covert,The Overpass 2024 Collection,False,True,954818069199456731,50179604576,150000.0,USD,skin
ak_47__b_the_monster__field_tested,csfloat,weapon,Skin,Skin,AK-47 | B the Monster (Field-Tested),AK-47 | B the Monster,Skin,rifle,AK-47,B the Monster,Field-Tested,Covert,The Overpass 2024 Collection,False,False,949921943539289301,47462260665,32000.0,USD,skin
ak_47__b_the_monster__field_tested__souvenir,csfloat,weapon,Skin,Skin,Souvenir AK-47 | B the Monster (Field-Tested),AK-47 | B the Monster,Skin,rifle,AK-47,B the Monster,Field-Tested,Covert,The Overpass 2024 Collection,False,True,957046030199817604,50090771027,33524.0,USD,skin
ak_47__b_the_monster__minimal_wear,csfloat,weapon,Skin,Skin,AK-47 | B the Monster (Minimal Wear),AK-47 | B the Monster,Skin,rifle,AK-47,B the Monster,Minimal Wear,Covert,The Overpass 2024 Collection,False,False,906675677779068866,45218080944,53500.0,USD,skin
ak_47__b_the_monster__minimal_wear__souvenir,csfloat,weapon,Skin,Skin,Souvenir AK-47 | B the Monster (Minimal Wear),AK-47 | B the Monster,Skin,rifle,AK-47,B the Monster,Minimal Wear,Covert,The Overpass 2024 Collection,False,True,937829197664094971,49174770121,59999.0,USD,skin
ak_47__b_the_monster__well_worn,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | B the Monster (Well-Worn),AK-47 | B the Monster (Well-Worn),Rifles,rifle,AK-47,B the Monster,Well-Worn,Covert,,False,False,skin-16430ed7568b_3,142,,,
ak_47__b_the_monster__well_worn__souvenir,csfloat,weapon,Skin,Skin,Souvenir AK-47 | B the Monster (Well-Worn),AK-47 | B the Monster,Skin,rifle,AK-47,B the Monster,Well-Worn,Covert,The Overpass 2024 Collection,False,True,956814098744609685,50409310969,26000.0,USD,skin
ak_47__baroque_purple__battle_scarred,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Baroque Purple (Battle-Scarred),AK-47 | Baroque Purple (Battle-Scarred),Rifles,rifle,AK-47,Baroque Purple,Battle-Scarred,Industrial Grade,,False,False,skin-bce540e2b4f3_4,745,,,
ak_47__baroque_purple__factory_new,csfloat,weapon,Skin,Skin,AK-47 | Baroque Purple (Factory New),AK-47 | Baroque Purple,Skin,rifle,AK-47,Baroque Purple,Factory New,Industrial Grade,The Canals Collection,False,False,953002647110158804,25311715926,17500.0,USD,skin
ak_47__baroque_purple__field_tested,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Baroque Purple (Field-Tested),AK-47 | Baroque Purple (Field-Tested),Rifles,rifle,AK-47,Baroque Purple,Field-Tested,Industrial Grade,,False,False,skin-bce540e2b4f3_2,745,,,
ak_47__baroque_purple__minimal_wear,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Baroque Purple (Minimal Wear),AK-47 | Baroque Purple (Minimal Wear),Rifles,rifle,AK-47,Baroque Purple,Minimal Wear,Industrial Grade,,False,False,skin-bce540e2b4f3_1,745,,,
ak_47__baroque_purple__well_worn,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Baroque Purple (Well-Worn),AK-47 | Baroque Purple (Well-Worn),Rifles,rifle,AK-47,Baroque Purple,Well-Worn,Industrial Grade,,False,False,skin-bce540e2b4f3_3,745,,,
ak_47__black_laminate__battle_scarred,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Black Laminate (Battle-Scarred),AK-47 | Black Laminate (Battle-Scarred),Rifles,rifle,AK-47,Black Laminate,Battle-Scarred,Mil-Spec Grade,,False,False,skin-24736fc09703_4,172,,,
ak_47__black_laminate__battle_scarred__souvenir,csgo_api_reference,weapon,Rifles,Rifles,Souvenir AK-47 | Black Laminate (Battle-Scarred),Souvenir AK-47 | Black Laminate (Battle-Scarred),Rifles,rifle,AK-47,Black Laminate,Battle-Scarred,Mil-Spec Grade,,False,True,skin-24736fc09703_4_so,172,,,
ak_47__black_laminate__factory_new,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Black Laminate (Factory New),AK-47 | Black Laminate (Factory New),Rifles,rifle,AK-47,Black Laminate,Factory New,Mil-Spec Grade,,False,False,skin-24736fc09703_0,172,,,
ak_47__black_laminate__factory_new__souvenir,csgo_api_reference,weapon,Rifles,Rifles,Souvenir AK-47 | Black Laminate (Factory New),Souvenir AK-47 | Black Laminate (Factory New),Rifles,rifle,AK-47,Black Laminate,Factory New,Mil-Spec Grade,,False,True,skin-24736fc09703_0_so,172,,,
ak_47__black_laminate__field_tested,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Black Laminate (Field-Tested),AK-47 | Black Laminate (Field-Tested),Rifles,rifle,AK-47,Black Laminate,Field-Tested,Mil-Spec Grade,,False,False,skin-24736fc09703_2,172,,,
ak_47__black_laminate__field_tested__souvenir,csgo_api_reference,weapon,Rifles,Rifles,Souvenir AK-47 | Black Laminate (Field-Tested),Souvenir AK-47 | Black Laminate (Field-Tested),Rifles,rifle,AK-47,Black Laminate,Field-Tested,Mil-Spec Grade,,False,True,skin-24736fc09703_2_so,172,,,
ak_47__black_laminate__minimal_wear,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Black Laminate (Minimal Wear),AK-47 | Black Laminate (Minimal Wear),Rifles,rifle,AK-47,Black Laminate,Minimal Wear,Mil-Spec Grade,,False,False,skin-24736fc09703_1,172,,,
ak_47__black_laminate__minimal_wear__souvenir,csgo_api_reference,weapon,Rifles,Rifles,Souvenir AK-47 | Black Laminate (Minimal Wear),Souvenir AK-47 | Black Laminate (Minimal Wear),Rifles,rifle,AK-47,Black Laminate,Minimal Wear,Mil-Spec Grade,,False,True,skin-24736fc09703_1_so,172,,,
ak_47__black_laminate__well_worn,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Black Laminate (Well-Worn),AK-47 | Black Laminate (Well-Worn),Rifles,rifle,AK-47,Black Laminate,Well-Worn,Mil-Spec Grade,,False,False,skin-24736fc09703_3,172,,,
ak_47__black_laminate__well_worn__souvenir,csgo_api_reference,weapon,Rifles,Rifles,Souvenir AK-47 | Black Laminate (Well-Worn),Souvenir AK-47 | Black Laminate (Well-Worn),Rifles,rifle,AK-47,Black Laminate,Well-Worn,Mil-Spec Grade,,False,True,skin-24736fc09703_3_so,172,,,
ak_47__bloodsport__factory_new,csfloat,weapon,Skin,Skin,AK-47 | Bloodsport (Factory New),AK-47 | Bloodsport,Skin,rifle,AK-47,Bloodsport,Factory New,Covert,The Spectrum Collection,False,False,956550509005769235,49842226780,7100.0,USD,skin
ak_47__bloodsport__factory_new__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Bloodsport (Factory New),StatTrak™ AK-47 | Bloodsport (Factory New),Rifles,rifle,AK-47,Bloodsport,Factory New,Covert,,True,False,skin-ba052cf18c66_0_st,639,,,
ak_47__bloodsport__field_tested,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Bloodsport (Field-Tested),AK-47 | Bloodsport (Field-Tested),Rifles,rifle,AK-47,Bloodsport,Field-Tested,Covert,,False,False,skin-ba052cf18c66_2,639,,,
ak_47__bloodsport__field_tested__stattrak,csfloat,weapon,Skin,Skin,StatTrak™ AK-47 | Bloodsport (Field-Tested),AK-47 | Bloodsport,Skin,rifle,AK-47,Bloodsport,Field-Tested,Covert,The Spectrum Collection,True,False,957040855011691786,49614117974,29082.0,USD,skin
ak_47__bloodsport__minimal_wear,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Bloodsport (Minimal Wear),AK-47 | Bloodsport (Minimal Wear),Rifles,rifle,AK-47,Bloodsport,Minimal Wear,Covert,,False,False,skin-ba052cf18c66_1,639,,,
ak_47__bloodsport__minimal_wear__stattrak,csfloat,weapon,Skin,Skin,StatTrak™ AK-47 | Bloodsport (Minimal Wear),AK-47 | Bloodsport,Skin,rifle,AK-47,Bloodsport,Minimal Wear,Covert,The Spectrum Collection,True,False,957036505648464707,49894519395,31201.0,USD,skin
ak_47__bloodsport__well_worn,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Bloodsport (Well-Worn),AK-47 | Bloodsport (Well-Worn),Rifles,rifle,AK-47,Bloodsport,Well-Worn,Covert,,False,False,skin-ba052cf18c66_3,639,,,
ak_47__bloodsport__well_worn__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Bloodsport (Well-Worn),StatTrak™ AK-47 | Bloodsport (Well-Worn),Rifles,rifle,AK-47,Bloodsport,Well-Worn,Covert,,True,False,skin-ba052cf18c66_3_st,639,,,
ak_47__blue_laminate__factory_new,csfloat,weapon,Skin,Skin,AK-47 | Blue Laminate (Factory New),AK-47 | Blue Laminate,Skin,rifle,AK-47,Blue Laminate,Factory New,Restricted,The eSports 2013 Winter Collection,False,False,955247188450086683,5741453969,6700.0,USD,skin
ak_47__blue_laminate__factory_new__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Blue Laminate (Factory New),StatTrak™ AK-47 | Blue Laminate (Factory New),Rifles,rifle,AK-47,Blue Laminate,Factory New,Restricted,,True,False,skin-1970fa831101_0_st,226,,,
ak_47__blue_laminate__field_tested,csfloat,weapon,Skin,Skin,AK-47 | Blue Laminate (Field-Tested),AK-47 | Blue Laminate,Skin,rifle,AK-47,Blue Laminate,Field-Tested,Restricted,The eSports 2013 Winter Collection,False,False,956884982708700921,49567649700,1005.0,USD,skin
ak_47__blue_laminate__field_tested__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Blue Laminate (Field-Tested),StatTrak™ AK-47 | Blue Laminate (Field-Tested),Rifles,rifle,AK-47,Blue Laminate,Field-Tested,Restricted,,True,False,skin-1970fa831101_2_st,226,,,
ak_47__blue_laminate__minimal_wear,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Blue Laminate (Minimal Wear),AK-47 | Blue Laminate (Minimal Wear),Rifles,rifle,AK-47,Blue Laminate,Minimal Wear,Restricted,,False,False,skin-1970fa831101_1,226,,,
ak_47__blue_laminate__minimal_wear__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Blue Laminate (Minimal Wear),StatTrak™ AK-47 | Blue Laminate (Minimal Wear),Rifles,rifle,AK-47,Blue Laminate,Minimal Wear,Restricted,,True,False,skin-1970fa831101_1_st,226,,,
ak_47__blue_laminate__well_worn,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Blue Laminate (Well-Worn),AK-47 | Blue Laminate (Well-Worn),Rifles,rifle,AK-47,Blue Laminate,Well-Worn,Restricted,,False,False,skin-1970fa831101_3,226,,,
ak_47__blue_laminate__well_worn__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Blue Laminate (Well-Worn),StatTrak™ AK-47 | Blue Laminate (Well-Worn),Rifles,rifle,AK-47,Blue Laminate,Well-Worn,Restricted,,True,False,skin-1970fa831101_3_st,226,,,
ak_47__breakthrough__battle_scarred,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Breakthrough (Battle-Scarred),AK-47 | Breakthrough (Battle-Scarred),Rifles,rifle,AK-47,Breakthrough,Battle-Scarred,Restricted,,False,False,skin-a92d1a70ebc1_4,1358,,,
ak_47__breakthrough__factory_new,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Breakthrough (Factory New),AK-47 | Breakthrough (Factory New),Rifles,rifle,AK-47,Breakthrough,Factory New,Restricted,,False,False,skin-a92d1a70ebc1_0,1358,,,
ak_47__breakthrough__field_tested,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Breakthrough (Field-Tested),AK-47 | Breakthrough (Field-Tested),Rifles,rifle,AK-47,Breakthrough,Field-Tested,Restricted,,False,False,skin-a92d1a70ebc1_2,1358,,,
ak_47__breakthrough__minimal_wear,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Breakthrough (Minimal Wear),AK-47 | Breakthrough (Minimal Wear),Rifles,rifle,AK-47,Breakthrough,Minimal Wear,Restricted,,False,False,skin-a92d1a70ebc1_1,1358,,,
ak_47__breakthrough__well_worn,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Breakthrough (Well-Worn),AK-47 | Breakthrough (Well-Worn),Rifles,rifle,AK-47,Breakthrough,Well-Worn,Restricted,,False,False,skin-a92d1a70ebc1_3,1358,,,
ak_47__cartel__battle_scarred,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Cartel (Battle-Scarred),AK-47 | Cartel (Battle-Scarred),Rifles,rifle,AK-47,Cartel,Battle-Scarred,Classified,,False,False,skin-2a8ebacc14e8_4,394,,,
ak_47__cartel__battle_scarred__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Cartel (Battle-Scarred),StatTrak™ AK-47 | Cartel (Battle-Scarred),Rifles,rifle,AK-47,Cartel,Battle-Scarred,Classified,,True,False,skin-2a8ebacc14e8_4_st,394,,,
ak_47__cartel__factory_new,csfloat,weapon,Skin,Skin,AK-47 | Cartel (Factory New),AK-47 | Cartel,Skin,rifle,AK-47,Cartel,Factory New,Classified,The Chroma Collection,False,False,934775743337070678,49017537597,12639.0,USD,skin
ak_47__cartel__factory_new__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Cartel (Factory New),StatTrak™ AK-47 | Cartel (Factory New),Rifles,rifle,AK-47,Cartel,Factory New,Classified,,True,False,skin-2a8ebacc14e8_0_st,394,,,
ak_47__cartel__field_tested,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Cartel (Field-Tested),AK-47 | Cartel (Field-Tested),Rifles,rifle,AK-47,Cartel,Field-Tested,Classified,,False,False,skin-2a8ebacc14e8_2,394,,,
ak_47__cartel__field_tested__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Cartel (Field-Tested),StatTrak™ AK-47 | Cartel (Field-Tested),Rifles,rifle,AK-47,Cartel,Field-Tested,Classified,,True,False,skin-2a8ebacc14e8_2_st,394,,,
ak_47__cartel__minimal_wear,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Cartel (Minimal Wear),AK-47 | Cartel (Minimal Wear),Rifles,rifle,AK-47,Cartel,Minimal Wear,Classified,,False,False,skin-2a8ebacc14e8_1,394,,,
ak_47__cartel__minimal_wear__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Cartel (Minimal Wear),StatTrak™ AK-47 | Cartel (Minimal Wear),Rifles,rifle,AK-47,Cartel,Minimal Wear,Classified,,True,False,skin-2a8ebacc14e8_1_st,394,,,
ak_47__cartel__well_worn,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Cartel (Well-Worn),AK-47 | Cartel (Well-Worn),Rifles,rifle,AK-47,Cartel,Well-Worn,Classified,,False,False,skin-2a8ebacc14e8_3,394,,,
ak_47__cartel__well_worn__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Cartel (Well-Worn),StatTrak™ AK-47 | Cartel (Well-Worn),Rifles,rifle,AK-47,Cartel,Well-Worn,Classified,,True,False,skin-2a8ebacc14e8_3_st,394,,,
ak_47__case_hardened__battle_scarred,csfloat,weapon,Skin,Skin,AK-47 | Case Hardened (Battle-Scarred),AK-47 | Case Hardened,Skin,rifle,AK-47,Case Hardened,Battle-Scarred,Classified,The Arms Deal Collection,False,False,957205984235882064,50445398157,18000.0,USD,skin
ak_47__case_hardened__battle_scarred__stattrak,csfloat,weapon,Skin,Skin,StatTrak™ AK-47 | Case Hardened (Battle-Scarred),AK-47 | Case Hardened,Skin,rifle,AK-47,Case Hardened,Battle-Scarred,Classified,The Arms Deal Collection,True,False,957214082262502694,50444468575,40500.0,USD,skin
ak_47__case_hardened__factory_new,csfloat,weapon,Skin,Skin,AK-47 | Case Hardened (Factory New),AK-47 | Case Hardened,Skin,rifle,AK-47,Case Hardened,Factory New,Classified,The Arms Deal Collection,False,False,956803984511862909,50303746396,16000.0,USD,skin
ak_47__case_hardened__factory_new__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Case Hardened (Factory New),StatTrak™ AK-47 | Case Hardened (Factory New),Rifles,rifle,AK-47,Case Hardened,Factory New,Classified,,True,False,skin-5fd3ee42a6c4_0_st,44,,,
ak_47__case_hardened__field_tested,csfloat,weapon,Skin,Skin,AK-47 | Case Hardened (Field-Tested),AK-47 | Case Hardened,Skin,rifle,AK-47,Case Hardened,Field-Tested,Classified,The Arms Deal Collection,False,False,957233853515303865,50333089775,2605.0,USD,skin
ak_47__case_hardened__field_tested__stattrak,csfloat,weapon,Skin,Skin,StatTrak™ AK-47 | Case Hardened (Field-Tested),AK-47 | Case Hardened,Skin,rifle,AK-47,Case Hardened,Field-Tested,Classified,The Arms Deal Collection,True,False,957083751496680222,50157516100,49848.0,USD,skin
ak_47__case_hardened__minimal_wear,csfloat,weapon,Skin,Skin,AK-47 | Case Hardened (Minimal Wear),AK-47 | Case Hardened,Skin,rifle,AK-47,Case Hardened,Minimal Wear,Classified,The Arms Deal Collection,False,False,956963583294572482,50367353390,5100.0,USD,skin
ak_47__case_hardened__minimal_wear__stattrak,csfloat,weapon,Skin,Skin,StatTrak™ AK-47 | Case Hardened (Minimal Wear),AK-47 | Case Hardened,Skin,rifle,AK-47,Case Hardened,Minimal Wear,Classified,The Arms Deal Collection,True,False,956856992754959670,50369580331,64082.0,USD,skin
ak_47__case_hardened__well_worn,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Case Hardened (Well-Worn),AK-47 | Case Hardened (Well-Worn),Rifles,rifle,AK-47,Case Hardened,Well-Worn,Classified,,False,False,skin-5fd3ee42a6c4_3,44,,,
ak_47__case_hardened__well_worn__stattrak,csfloat,weapon,Skin,Skin,StatTrak™ AK-47 | Case Hardened (Well-Worn),AK-47 | Case Hardened,Skin,rifle,AK-47,Case Hardened,Well-Worn,Classified,The Arms Deal Collection,True,False,956153819052510964,50566805092,38241.0,USD,skin
ak_47__crane_flight__battle_scarred,csgo_api_reference,weapon,Rifles,Rifles,AK-47 | Crane Flight (Battle-Scarred),AK-47 | Crane Flight (Battle-Scarred),Rifles,rifle,AK-47,Crane Flight,Battle-Scarred,Classified,,False,False,skin-f64cdaac0b90_4,1425,,,
ak_47__crane_flight__battle_scarred__stattrak,csgo_api_reference,weapon,Rifles,Rifles,StatTrak™ AK-47 | Crane Flight (Battle-Scarred),StatTrak™ AK-47 | Crane Flight (Battle-Scarred),Rifles,rifle,AK-47,Crane Flight,Battle-Scarred,Classified,,True,False,skin-f64cdaac0b90_4_st,1425,,,
ak_47__crane_flight__factory_new,csfloat,weapon,Skin,Skin,AK-47 | Crane Flight (Factory New),AK-47 | Crane Flight,Skin,rifle,AK-47,Crane Flight,Factory New,Classified,The Dead Hand Collection,False,False,956933963623040202,50419579943,17500.0,USD,skin
